Timestamp,Age,Gender,Location,  How often do you play video games?  ,  How many hours do you typically spend gaming in a week?  ,  Which device do you play games on the most?(Check all that apply)  ,What genres of video games do you play? (Check all that apply)  ,  What is your favorite game?  ,How do you discover new games? (Check all that apply)  ,  Do you prefer single-player or multiplayer games?  ," How much do you spend on gaming monthly (including in-game purchases, new games, etc.)?  ",Why do you play video games? (Check all that apply)  
24/10/2024,18,Male,"Bangalore, Karnataka",Daily,10-20 hours,Mobile,Sports,FC MOBILE,"Social Media, Gaming Forums",Both,Less than ?100,"For fun/entertainment, To relieve stress"
24/10/2024,19,Male,"Hell road , Bangalore ",Rarely/Never,0,Mobile,"Puzzle/Strategy, Simulation (e.g., The Sims)",Wukong ,Social Media,Single-player,Less than ?100,To improve skills/competition
24/10/2024,19,Male,"Bangalore, Karnataka",Rarely/Never,More than 20 hours,"Console (PlayStation, Xbox, etc.)",First-Person Shooter (FPS),Call of Duty,Gaming Forums,Multiplayer,?100-500,For fun/entertainment
24/10/2024,18,Female,"Bangalore, Karnataka",Rarely/Never,Less than 5 hours,Mobile,Puzzle/Strategy,Subway,Social Media,Both,Less than ?100,For fun/entertainment
24/10/2024,18,Female,"Bangalore, Karnataka",Daily,Less than 5 hours,"PC, Mobile","Action/Adventure, First-Person Shooter (FPS), Role-Playing Games (RPG)",Solo leveling arise ,Friends/Family Recommendations,Multiplayer,Less than ?100,"For fun/entertainment, To relieve stress, To socialize with friends, To improve skills/competition"
24/10/2024,19,Male,"Bangalore, Karnataka",A few times in a week,Less than 5 hours,Mobile,Sports,Efootball,Social Media,Both,Less than ?100,For fun/entertainment
24/10/2024,18,Female,Jain University ,Daily,More than 20 hours,"PC, Mobile","Action/Adventure, First-Person Shooter (FPS), Role-Playing Games (RPG), MMO (Massively Multiplayer Online)",Call of Duty,"Social Media, Gaming Forums, Game Reviews/Blogs, YouTube/Streaming platforms (Twitch, etc.)",Multiplayer,?100-500,"For fun/entertainment, To relieve stress"
24/10/2024,19,Male,"Bangalore, Karnataka",A few times in a month,30mins,Mobile,"First-Person Shooter (FPS), Role-Playing Games (RPG), Simulation (e.g., The Sims)",Call of Duty,"Gaming Forums, YouTube/Streaming platforms (Twitch, etc.)",Both,Less than ?100,"For fun/entertainment, To relieve stress, To socialize with friends, To improve skills/competition"
24/10/2024,20,Male,"Bangalore, Karnataka",A few times in a week,Less than 5 hours,Mobile,First-Person Shooter (FPS),BGMI ,Social Media,Single-player,Less than ?100,To relieve stress
24/10/2024,18,Male,Harohalli,Daily,10-20 hours,Mobile,"Action/Adventure, MMO (Massively Multiplayer Online)",Moba Legends,Friends/Family Recommendations,Multiplayer,Less than ?100,"For fun/entertainment, To socialize with friends, To improve skills/competition"
24/10/2024,16,Male,"Bhubaneswar, Odisha",A few times in a week,5-10 hours,"PC, Mobile","Action/Adventure, Sports, MMO (Massively Multiplayer Online)","Free fire,wuthering waves",Social Media,Both,Less than ?100,For fun/entertainment
24/10/2024,16,Male,"Bhubaneswar, Odisha",Daily,10-20 hours,Mobile,"Action/Adventure, Role-Playing Games (RPG), MMO (Massively Multiplayer Online)",Wuther waves,"Social Media, Friends/Family Recommendations",Both,Less than ?100,"For fun/entertainment, To improve skills/competition"
24/10/2024,17,Female,"Bangalore, Karnataka",A few times in a week,Less than 5 hours,"PC, Mobile","Action/Adventure, Role-Playing Games (RPG)",Rhythm Rush lite,"Social Media, Gaming Forums",Both,Less than ?100,To relieve stress
24/10/2024,17,Female,Andhra Pradesh,Daily,Less than 5 hours,"Console (PlayStation, Xbox, etc.), Mobile","Action/Adventure, First-Person Shooter (FPS), Puzzle/Strategy",Solo Levelling,"Gaming Forums, Game Reviews/Blogs",Both,?100-500,"For fun/entertainment, To relieve stress, To socialize with friends, To improve skills/competition"
24/10/2024,17,Female,"Bangalore, Karnataka",Daily,Less than 5 hours,"Console (PlayStation, Xbox, etc.), Handheld devices (Nintendo Switch, etc.)",MMO (Massively Multiplayer Online),Call of Duty,"Gaming Forums, Game Reviews/Blogs",Multiplayer,?1000 and above,To relieve stress
24/10/2024,20,Male,"Bhubaneswar, Odisha",A few times in a week,Less than 5 hours,"PC, Mobile","Action/Adventure, First-Person Shooter (FPS), Puzzle/Strategy, MMO (Massively Multiplayer Online)",Wuthering waves ,"Social Media, Gaming Forums, Friends/Family Recommendations, Game Reviews/Blogs, YouTube/Streaming platforms (Twitch, etc.)",Both,Less than ?100,For fun/entertainment
24/10/2024,19,Male,"Bangalore, Karnataka",A few times in a week,5-10 hours,PC,"Action/Adventure, First-Person Shooter (FPS)",Red dead redemption 2,Friends/Family Recommendations,Both,Less than ?100,"For fun/entertainment, To relieve stress"
24/10/2024,19,Male,"Bangalore, Karnataka",A few times in a month,Less than 5 hours,Mobile,"Action/Adventure, Sports",Chess and clash of clans ,I search myself from playstore ,Multiplayer,Less than ?100,If no other better work 
24/10/2024,19,Male,"Bangalore, Karnataka",Daily,More than 20 hours,"PC, Console (PlayStation, Xbox, etc.), Mobile","Action/Adventure, Role-Playing Games (RPG)",God of war ragnarok,"Friends/Family Recommendations, YouTube/Streaming platforms (Twitch, etc.)",Single-player,Less than ?100,"For fun/entertainment, To relieve stress"
24/10/2024,19,Male,"Bangalore, Karnataka",A few times in a week,Less than 5 hours,PC,"Action/Adventure, First-Person Shooter (FPS)",Fornite,"Social Media, Friends/Family Recommendations",Both,Less than ?100,"For fun/entertainment, To relieve stress, To improve skills/competition"
24/10/2024,19,Female,"Bangalore, Karnataka",A few times in a week,5-10 hours,"PC, Mobile","Action/Adventure, Puzzle/Strategy, Simulation (e.g., The Sims)","bgmi,coc,chess","YouTube/Streaming platforms (Twitch, etc.)",Multiplayer,?100-500,"For fun/entertainment, To relieve stress, To socialize with friends, To improve skills/competition"
24/10/2024,19,Male,"Bangalore, Karnataka",Daily,5-10 hours,"PC, Mobile","First-Person Shooter (FPS), Sports",efootball,Friends/Family Recommendations,Both,Less than ?100,"For fun/entertainment, To relieve stress"
25/10/2024,25,Male,"Bangalore, Karnataka",Daily,5-10 hours,"PC, Mobile","Action/Adventure, First-Person Shooter (FPS), Role-Playing Games (RPG), Puzzle/Strategy, Simulation (e.g., The Sims), MMO (Massively Multiplayer Online)",Many,"Social Media, Gaming Forums, Game Reviews/Blogs, YouTube/Streaming platforms (Twitch, etc.), my own ways!!!",Single-player,Less than ?100,"For fun/entertainment, To improve skills/competition, learning how it's designed, etc"
23/10/2024,18,Female,"Bangalore, Karnataka",Daily,10-20 hours,"PC, Mobile",Sports,FC MOBILE,"Social Media, Gaming Forums",Both,Less than ?100,"For fun/entertainment, To relieve stress"
23/10/2024,19,Female,"Bangalore, Karnataka",Rarely/Never,0,Mobile,"Puzzle/Strategy, Simulation (e.g., The Sims)",Wukong ,Social Media,Single-player,Less than ?100,To improve skills/competition
23/10/2024,19,Female,"Hell road , Bangalore",Rarely/Never,More than 20 hours,Mobile,First-Person Shooter (FPS),Call of Duty,Gaming Forums,Multiplayer,?100-500,For fun/entertainment
23/10/2024,18,male,"Bangalore, Karnataka",Rarely/Never,Less than 5 hours,"Console (PlayStation, Xbox, etc.)",Puzzle/Strategy,Subway,Social Media,Both,Less than ?100,For fun/entertainment
23/10/2024,18,Female,"Bangalore, Karnataka",Daily,Less than 5 hours,Mobile,"Action/Adventure, First-Person Shooter (FPS), Role-Playing Games (RPG)",Solo leveling arise ,Friends/Family Recommendations,Multiplayer,Less than ?100,"For fun/entertainment, To relieve stress, To socialize with friends, To improve skills/competition"
23/10/2024,19,Female,"Bangalore, Karnataka",A few times in a week,Less than 5 hours,"PC, Mobile",Sports,Efootball,Social Media,Both,Less than ?100,For fun/entertainment
23/10/2024,18,Female,"Bangalore, Karnataka",Daily,More than 20 hours,Mobile,"Action/Adventure, First-Person Shooter (FPS), Role-Playing Games (RPG), MMO (Massively Multiplayer Online)",Call of Duty,"Social Media, Gaming Forums, Game Reviews/Blogs, YouTube/Streaming platforms (Twitch, etc.)",Multiplayer,?100-500,"For fun/entertainment, To relieve stress"
23/10/2024,19,Female,Jain University,A few times in a month,30mins,"PC, Mobile","First-Person Shooter (FPS), Role-Playing Games (RPG), Simulation (e.g., The Sims)",Call of Duty,"Gaming Forums, YouTube/Streaming platforms (Twitch, etc.)",Both,Less than ?100,"For fun/entertainment, To relieve stress, To socialize with friends, To improve skills/competition"
23/10/2024,20,male,"Bangalore, Karnataka",A few times in a week,Less than 5 hours,Mobile,First-Person Shooter (FPS),BGMI ,Social Media,Single-player,Less than ?100,To relieve stress
23/10/2024,18,male,"Bangalore, Karnataka",Daily,10-20 hours,Mobile,"Action/Adventure, MMO (Massively Multiplayer Online)",Moba Legends,Friends/Family Recommendations,Multiplayer,Less than ?100,"For fun/entertainment, To socialize with friends, To improve skills/competition"
23/10/2024,16,Female,Harohalli,A few times in a week,5-10 hours,Mobile,"Action/Adventure, Sports, MMO (Massively Multiplayer Online)","Free fire,wuthering waves",Social Media,Both,Less than ?100,For fun/entertainment
23/10/2024,16,Female,"Bhubaneswar, Odisha",Daily,10-20 hours,"PC, Mobile","Action/Adventure, Role-Playing Games (RPG), MMO (Massively Multiplayer Online)",Wuther waves,"Social Media, Friends/Family Recommendations",Both,Less than ?100,"For fun/entertainment, To improve skills/competition"
23/10/2024,17,Male,"Bhubaneswar, Odisha",A few times in a week,Less than 5 hours,Mobile,"Action/Adventure, Role-Playing Games (RPG)",Rhythm Rush lite,"Social Media, Gaming Forums",Both,Less than ?100,To relieve stress
23/10/2024,17,Female,"Bangalore, Karnataka",Daily,Less than 5 hours,"PC, Mobile","Action/Adventure, First-Person Shooter (FPS), Puzzle/Strategy",Solo Levelling,"Gaming Forums, Game Reviews/Blogs",Both,?100-500,"For fun/entertainment, To relieve stress, To socialize with friends, To improve skills/competition"
23/10/2024,17,Male,Andhra Pradesh,Daily,Less than 5 hours,"Console (PlayStation, Xbox, etc.), Mobile",MMO (Massively Multiplayer Online),Call of Duty,"Gaming Forums, Game Reviews/Blogs",Multiplayer,?1000 and above,To relieve stress
23/10/2024,20,Male,"Bangalore, Karnataka",A few times in a week,Less than 5 hours,"Console (PlayStation, Xbox, etc.), Handheld devices (Nintendo Switch, etc.)","Action/Adventure, First-Person Shooter (FPS), Puzzle/Strategy, MMO (Massively Multiplayer Online)",Wuthering waves ,"Social Media, Gaming Forums, Friends/Family Recommendations, Game Reviews/Blogs, YouTube/Streaming platforms (Twitch, etc.)",Both,Less than ?100,For fun/entertainment
23/10/2024,19,Male,"Bhubaneswar, Odisha",A few times in a week,5-10 hours,"PC, Mobile","Action/Adventure, First-Person Shooter (FPS)",Red dead redemption 2,Friends/Family Recommendations,Both,Less than ?100,"For fun/entertainment, To relieve stress"
23/10/2024,19,Female,"Bangalore, Karnataka",A few times in a month,Less than 5 hours,PC,"Action/Adventure, Sports",Chess and clash of clans ,I search myself from playstore ,Multiplayer,Less than ?100,If no other better work 
23/10/2024,19,Male,"Bangalore, Karnataka",Daily,More than 20 hours,Mobile,"Action/Adventure, Role-Playing Games (RPG)",God of war ragnarok,"Friends/Family Recommendations, YouTube/Streaming platforms (Twitch, etc.)",Single-player,Less than ?100,"For fun/entertainment, To relieve stress"
23/10/2024,19,Female,"Bangalore, Karnataka",A few times in a week,Less than 5 hours,"PC, Console (PlayStation, Xbox, etc.), Mobile","Action/Adventure, First-Person Shooter (FPS)",Fornite,"Social Media, Friends/Family Recommendations",Both,Less than ?100,"For fun/entertainment, To relieve stress, To improve skills/competition"
23/10/2024,19,Male,"Bangalore, Karnataka",A few times in a week,5-10 hours,PC,"Action/Adventure, Puzzle/Strategy, Simulation (e.g., The Sims)","bgmi,coc,chess","YouTube/Streaming platforms (Twitch, etc.)",Multiplayer,?100-500,"For fun/entertainment, To relieve stress, To socialize with friends, To improve skills/competition"
23/10/2024,19,Female,"Bangalore, Karnataka",Daily,5-10 hours,"PC, Mobile","First-Person Shooter (FPS), Sports",efootball,Friends/Family Recommendations,Both,Less than ?100,"For fun/entertainment, To relieve stress"
23/10/2024,18,Female,"Bangalore, Karnataka",Rarely/Never,10-20 hours,"PC, Mobile","Action/Adventure, First-Person Shooter (FPS), Role-Playing Games (RPG), Puzzle/Strategy, Simulation (e.g., The Sims), MMO (Massively Multiplayer Online)",Many,"Social Media, Gaming Forums, Game Reviews/Blogs, YouTube/Streaming platforms (Twitch, etc.), my own ways!!!",Single-player,Less than ?100,"For fun/entertainment, To improve skills/competition, learning how it's designed, etc"
23/10/2024,19,Female,Chennai,Daily,5-10 hours,"Console, Mobile",Sports,FC MOBILE,"Social Media, Gaming Forums",Single-player,More than ?1000,"For fun/entertainment, To relieve stress"
