store_no,year,revenue,store_size,location_type,opening_date_first,population_within_5km,train_stations_within_500m,public_transport_stop_within_50m,public_transport_stop_within_100m,bank_atm_within_5km,atm_within_5km,shop_within_5km,supermarkets_within_5km,rest_cafe_pub_within_5km,parking_spaces_within_5km,bank_atm_within_500m,atm_within_500m,proportion_5th_income_quintile,monthly_rent_per_sqm
1427,2016,3029034,584,Pedestrian zone,22/10/1998,77175,1,0,0,37,18,343,34,199,494,17,10,0.128979208,12.6369863
13,2016,263245,232,Main shopping street,16/09/1972,14304,0,0,0,16,9,184,8,110,139,7,3,0.174382716,
42,2016,422011,325,Main shopping street,12/11/1975,11390,0,0,0,5,0,63,8,48,84,1,0,0.18285124,
43,2016,364335,381,Outskirts / residential,26/11/1975,89679,2,0,6,21,6,356,18,131,216,10,2,0.241271923,
51,2016,234535,146,Specialist retail center,07/05/1976,22024,1,0,1,8,0,62,7,40,92,2,0,0.262574257,
87,2016,212689,254.5,Outskirts / residential,21/10/1977,87964,1,0,0,12,4,151,16,56,173,2,0,0.232171799,
97,2016,187889,195,Outskirts / residential,10/03/1978,64168,1,0,0,40,18,434,27,165,286,18,7,0.255858311,
105,2016,284108,350,Pedestrian zone,18/08/1978,23134,1,0,2,18,4,159,15,58,203,5,0,0.203941338,
123,2016,312085,290,Main shopping street,01/04/1979,14382,0,0,2,6,4,57,5,31,80,4,2,0.23271028,
124,2016,208933,187,Main shopping street,01/04/1979,14518,1,0,0,2,0,34,4,28,45,1,0,0.195090439,
118,2016,303480,200,Main shopping street,06/04/1979,97022,0,0,0,16,6,262,25,103,286,5,0,0.221908671,
138,2016,417317,370,Main shopping street,01/06/1980,17246,0,0,0,3,0,48,7,28,70,3,0,0.257800312,
157,2016,343592,278,Main shopping street,23/10/1980,23838,2,0,0,14,6,131,9,31,92,12,5,0.156108597,
91,2016,344356,193,Outskirts / residential,25/03/1981,110395,0,4,4,55,11,854,47,396,654,2,0,0.167827131,
175,2016,284843,243,Outskirts / residential,01/09/1981,123389,2,0,0,21,7,112,20,63,319,3,1,0.132352941,
178,2016,231709,200,Outskirts / residential,24/09/1981,47024,2,1,2,14,3,141,10,69,291,3,0,0.26968232,
197,2016,298148,192,Main shopping street,01/04/1982,16192,0,0,0,10,5,101,12,44,161,3,1,0.185247748,
230,2016,505555,415,Main shopping street,07/10/1982,118386,0,0,4,46,24,291,52,277,305,3,1,0.295390884,
258,2016,356413,298,Main shopping street,24/02/1983,19663,0,0,0,10,5,118,10,36,92,8,4,0.264823349,
260,2016,358314,163,Pedestrian zone,31/03/1983,82390,1,0,2,20,4,182,21,128,166,8,0,0.279145654,
255,2016,211065,287,Main shopping street,11/07/1983,19493,1,0,0,4,0,29,3,15,48,2,0,0.266976204,
269,2016,248934,280,Pedestrian zone,31/08/1983,68711,2,0,2,14,6,145,13,51,192,6,2,0.324368378,
287,2016,487373,303,Outskirts / residential,06/08/1984,15694,0,0,0,10,3,69,9,67,88,6,2,0.132867133,
